Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Line],Characteristics [Organism Part],Term Source 2 REF,Term Source 2 Accession,Assay Name,Experimental Condition [stretch duration],Experimental Condition [Nocodazole or DMSO],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Folder Name,Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Protocol REF,Processed Data File
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_011.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_011.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_011.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_012.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_012.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_012.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_013.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_013.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_013.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_014.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_014.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_014.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_015.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_015.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_015.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_016.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_016.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_016.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_017.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_017.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_017.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_018.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_018.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_018.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_019.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_019.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_019.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_020.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_020.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_020.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_021.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_021.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_021.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_022.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_022.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_022.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_023.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_023.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_023.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_024.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_024.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_024.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_025.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_025.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_025.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_026.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_026.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_026.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_027.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_027.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_027.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_028.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_028.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_028.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_029.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_029.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_029.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_030.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_030.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_030.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_031.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_031.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_031.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_032.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_032.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_032.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_033.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_033.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_033.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_034.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_034.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_034.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_035.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_035.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_035.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_036.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_036.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_036.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_037.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_037.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_037.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_038.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_038.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_038.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_039.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_039.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_039.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_040.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_040.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_040.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_041.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_041.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_041.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_042.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_042.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_042.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_043.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_043.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_043.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_044.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_044.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_044.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_045.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_045.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_045.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_046.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_046.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_046.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
Untreated 10min Actin Vimentin,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_047.lsm,Homo Sapiens,NCBITaxon,,Primary human umbilical vein endothelial cells (HUVEC),umbilical cord,EFO,,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_047.lsm,10min,Untreated,,,,2013_03_12,ExperimentA_No01_2013_03_12_10min_actin_microtubules_vimentin_047.lsm,ImagesOfExperimentA,(XYZC) = 2048 x 2048 x 1 x 4,raw,"Ch1: Vimentin, Ch2: Cell, Ch3: Actin, Ch4: Microtubules",,
